Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1974,stackyard,13-Sep-73,13/09/1973,,,Aminotriazole plus ammonia thiocyanate applied,
LongTermLiming,1974,stackyard,25-Oct-73,25/10/1973,,,"Subsoiled, tines 140 cm apart 50 cm deep",
LongTermLiming,1974,stackyard,13-Nov-73,13/11/1973,,,ploughed,
LongTermLiming,1974,stackyard,04-Apr-74,04/04/1974,,,spring-tine cultivated,
LongTermLiming,1974,stackyard,16-Apr-74,16/04/1974,,,"Basal N, treatment P, K, Mg applied",
LongTermLiming,1974,stackyard,17-Apr-74,17/04/1974,,,"rotary cultivated, potatoes late",
LongTermLiming,1974,stackyard,15-May-74,15/05/1974,,,Weedkiller applied,
LongTermLiming,1974,stackyard,12-Jun-74,12/06/1974,,,rotary ridged,
LongTermLiming,1974,stackyard,19-Jul-74,19/07/1974,,,Fungicide with insecticide applied,
LongTermLiming,1974,stackyard,07-Aug-74,07/08/1974,,,Fungicide applied,
LongTermLiming,1974,stackyard,12-Sep-73,12/09/1973,,,Haulm mechanically destroyed,
LongTermLiming,1974,stackyard,30-Sep-73,30/09/1973,,,sprayed with undiluted BOV at 170 l. Lifted,
LongTermLiming,1975,sawyers,07-Feb-75,07/02/1975,,,Chisel ploughed,
LongTermLiming,1975,sawyers,11-Mar-75,11/03/1975,,,"Treatment P, K applied",
LongTermLiming,1975,sawyers,25-Mar-75,25/03/1975,,,"rotary cultivated, seed sown, N applied",
LongTermLiming,1975,sawyers,19-May-75,19/05/1975,,,Weedkiller applied,
LongTermLiming,1975,sawyers,18-Aug-75,18/08/1975,,,combine hexvested,
LongTermLiming,1975,stackyard,11-Dec-74,11/12/1974,,,ploughed,
LongTermLiming,1975,stackyard,17-Mar-75,17/03/1975,,,"Treatment P, K applied",
LongTermLiming,1975,stackyard,20-Mar-75,20/03/1975,,,"spring cultivated, seed mown, N applied",
LongTermLiming,1975,stackyard,22-May-75,22/05/1975,,,Weedkiller applied,
LongTermLiming,1975,stackyard,18-Aug-75,18/08/1975,,,combine harvested,
LongTermLiming,1976,sawyers,20-Oct-75,20/10/1975,,,"Weedkiller applied Oct, ploughed",
LongTermLiming,1976,sawyers,11-Mar-76,11/03/1976,,,spring-tine cultivated,
LongTermLiming,1976,sawyers,24-Mar-76,24/03/1976,,,"Treatment P, K, Mg and basal N applied",
LongTermLiming,1976,sawyers,26-Mar-76,26/03/1976,,,"spring cultivated, seed sown",
LongTermLiming,1976,sawyers,14-Jul-76,14/07/1976,,,Harvested green,
LongTermLiming,1976,stackyard,02-Sep-75,02/09/1975,,,"Heavy spring-tine cultivated, rotary cultivated",
LongTermLiming,1976,stackyard,21-Oct-75,21/10/1975,,,ploughed,
LongTermLiming,1976,stackyard,09-Mar-76,09/03/1976,,,spring-tine cultivated,
LongTermLiming,1976,stackyard,26-Mar-76,26/03/1976,,,"Treatment P, K, Mg applied",
LongTermLiming,1976,stackyard,29-Mar-76,29/03/1976,,,Basal N applied,
LongTermLiming,1976,stackyard,30-Mar-76,30/03/1976,,,spring-tine cultivated with crumbler,
LongTermLiming,1976,stackyard,31-Mar-76,31/03/1976,,,"Rolled, seed sown",
LongTermLiming,1976,stackyard,07-Jul-76,07/07/1976,,,Harvested green,
LongTermLiming,1977,sawyers,31-Aug-77,31/08/1977,,,Deep-tine cultivated twice,
LongTermLiming,1977,sawyers,01-Dec-76,01/12/1976,,,ploughed,
LongTermLiming,1977,sawyers,29-Mar-77,29/03/1977,,,"Treatment P, K applied",
LongTermLiming,1977,sawyers,30-Mar-77,30/03/1977,,,Treatment Mg applied,
LongTermLiming,1977,sawyers,04-Apr-77,04/04/1977,,,"power harrowed, seed sown",
LongTermLiming,1977,sawyers,30-May-77,30/05/1977,,,Weedkiller applied,
LongTermLiming,1977,sawyers,05-Sep-76,05/09/1976,,,combine harvested,
LongTermLiming,1977,stackyard,16-Aug-77,16/08/1977,,,power harrowed,
LongTermLiming,1977,stackyard,23-Nov-76,23/11/1976,,,ploughed,
LongTermLiming,1977,stackyard,09-Mar-77,09/03/1977,,,spring-tine cultivated with crumbler attached,
LongTermLiming,1977,stackyard,18-Mar-77,18/03/1977,,,"Treatment P, K and Mg applied",
LongTermLiming,1977,stackyard,31-Mar-77,31/03/1977,,,"spring-tine cultivated with crumbler attached, seed sown",
LongTermLiming,1977,stackyard,30-May-77,30/05/1977,,,Weedkiller applied,
LongTermLiming,1977,stackyard,03-Sep-76,03/09/1976,,,combine harvested,
LongTermLiming,1978,sawyers,20-Nov-77,20/11/1977,,,ploughed,
LongTermLiming,1978,sawyers,07-Apr-78,07/04/1978,,,spring-tine cultivated,
LongTermLiming,1978,sawyers,19-Apr-78,19/04/1978,,,"Treatment P, K, Mg applied, per harrowed, seed sown",
LongTermLiming,1978,sawyers,08-Jun-78,08/06/1978,,,Weedkiller applied,
LongTermLiming,1978,sawyers,08-Sep-77,08/09/1977,,,combine harvested,
LongTermLiming,1978,stackyard,23-Sep-77,23/09/1977,,,paraquat applied,
LongTermLiming,1978,stackyard,30-Sep-77,30/09/1977,,,ploughed,
LongTermLiming,1978,stackyard,09-Mar-78,09/03/1978,,,spring-tine cultivated,
LongTermLiming,1978,stackyard,13-Mar-78,13/03/1978,,,"P, K, Mg applied, spring cultivated wíth crumbler attached",
LongTermLiming,1978,stackyard,15-Mar-78,15/03/1978,,,seed sown,
LongTermLiming,1978,stackyard,03-Apr-78,03/04/1978,,,"spring-tine cultivated with crumbler attached, seed resown because of bird damage",
LongTermLiming,1978,stackyard,15-May-78,15/05/1978,,,"Weedkiller, Fungicide applied",
LongTermLiming,1978,stackyard,23-Aug-78,23/08/1978,,,combine harvested,
LongTermLiming,1979,sawyers,24-Oct-78,24/10/1978,,,Weedkiller applied,
LongTermLiming,1979,sawyers,29-Nov-78,29/11/1978,,,Test chalk applied,
LongTermLiming,1979,sawyers,21-Dec-78,21/12/1978,,,ploughed,
LongTermLiming,1979,sawyers,12-Jun-79,12/06/1979,,,rotary cultivated,
LongTermLiming,1979,sawyers,03-Jul-79,03/07/1979,,,Deep-tine cultivated,
LongTermLiming,1979,stackyard,14-Sep-78,14/09/1978,,,Weedkiller applied,
LongTermLiming,1979,stackyard,21-Nov-78,21/11/1978,,,Test chalk applied,
LongTermLiming,1979,stackyard,22-Nov-78,22/11/1978,,,ploughed,
LongTermLiming,1979,stackyard,17-Apr-79,17/04/1979,,,spring-tine cultivated with crumbler attached,
LongTermLiming,1979,stackyard,06-Jun-79,06/06/1979,,,rotary cultivated,
LongTermLiming,1979,stackyard,04-Jul-79,04/07/1979,,,rotary cultivated twice,
LongTermLiming,1979,stackyard,16-Aug-79,16/08/1979,,,rotary cultivated twice,
LongTermLiming,1979,stackyard,21-Aug-79,21/08/1979,,,Deep-tine cultivated,
LongTermLiming,1979,stackyard,11-Sep-78,11/09/1978,,,Heavy spring-tine cultivated,
LongTermLiming,1980,sawyers,04-Dec-79,04/12/1979,,,ploughed,
LongTermLiming,1980,sawyers,21-Apr-80,21/04/1980,,,Heavy spring-tine cultivated,
LongTermLiming,1980,sawyers,22-May-80,22/05/1980,,,spring-tine cultivated,
LongTermLiming,1980,sawyers,19-Jun-80,19/06/1980,,,rotary cultivated,
LongTermLiming,1980,sawyers,04-Aug-80,04/08/1980,,,rotary harrowed,
LongTermLiming,1980,stackyard,11-Sep-79,11/09/1979,,,Heavy spring-tine cultivated,
LongTermLiming,1980,stackyard,03-Mar-80,03/03/1980,,,Heavy spring-tine cultivated,
LongTermLiming,1980,stackyard,07-Aug-80,07/08/1980,,,Heavy spring-tine cultivated,
LongTermLiming,1980,stackyard,29-Nov-79,29/11/1979,,,ploughed,
LongTermLiming,1980,stackyard,29-Jul-80,29/07/1980,,,rotary cultivated,
LongTermLiming,1981,sawyers,01-Dec-80,01/12/1980,,,"Basal K, Mg applied",
LongTermLiming,1981,sawyers,08-Dec-80,08/12/1980,,,"P treatments applied, ploughed",
LongTermLiming,1981,sawyers,13-Apr-81,13/04/1981,,,"rotary harrowed, seed sown",
LongTermLiming,1981,sawyers,01-Jun-81,01/06/1981,,,Weedkiller applied,
LongTermLiming,1981,sawyers,10-Sep-80,10/09/1980,,,combine harvested,
LongTermLiming,1981,stackyard,13-Nov-80,13/11/1980,,,ploughed,
LongTermLiming,1981,stackyard,12-Dec-80,12/12/1980,,,ploughed,
LongTermLiming,1981,stackyard,08-Dec-80,08/12/1980,,,"Basal K, Mg applied",
LongTermLiming,1981,stackyard,06-Apr-81,06/04/1981,,,"N applied, heavy spring cut cultivated",
LongTermLiming,1981,stackyard,08-Apr-81,08/04/1981,,,spring-tine cultivated with crumbler attached,
LongTermLiming,1981,stackyard,09-Apr-81,09/04/1981,,,"rotary cut cultivated, seed sown",
LongTermLiming,1981,stackyard,01-Jun-81,01/06/1981,,,"Weedkiller, Fungicide applied",
LongTermLiming,1981,stackyard,03-Sep-80,03/09/1980,,,combine harvested,
LongTermLiming,1982,sawyers,03-Dec-81,03/12/1981,07-Dec-81,,Ground chalk applied,
LongTermLiming,1982,sawyers,03-Feb-82,03/02/1982,,,ploughed,
LongTermLiming,1982,sawyers,05-Apr-82,05/04/1982,,,spring-tine cultivated,
LongTermLiming,1982,sawyers,14-Apr-82,14/04/1982,,,"P, K, Mg applied, seed sown",
LongTermLiming,1982,sawyers,26-May-82,26/05/1982,,,Weedkiller applied,
LongTermLiming,1982,stackyard,25-Nov-81,25/11/1981,,,Ground chalk applied,
LongTermLiming,1982,stackyard,26-Feb-82,26/02/1982,,,ploughed,
LongTermLiming,1982,stackyard,24-Mar-82,24/03/1982,,,"P, K applied",
LongTermLiming,1982,stackyard,25-Mar-82,25/03/1982,,,"Mg, N applied, heavy spring-tine cultivated",
LongTermLiming,1982,stackyard,29-Mar-82,29/03/1982,,,"spring-tine cultivated with crumbler attached, seed sown",
LongTermLiming,1982,stackyard,26-May-82,26/05/1982,,,Weedkiller applied,
LongTermLiming,1982,stackyard,20-Aug-82,20/08/1982,,,combine harvested,
LongTermLiming,1983,sawyers,26-Nov-82,26/11/1982,,,Ground chalk treatments applied,
LongTermLiming,1983,sawyers,01-Dec-82,01/12/1982,,,ploughed,
LongTermLiming,1983,sawyers,11-May-83,11/05/1983,,,"P treatments, N, K, Mg applied",
LongTermLiming,1983,sawyers,23-May-83,23/05/1983,,,"rotary harrowed, potatoes late",
LongTermLiming,1983,sawyers,26-May-83,26/05/1983,,,rotary ridged,
LongTermLiming,1983,sawyers,07-Jun-83,07/06/1983,,,Weedkiller applied,
LongTermLiming,1983,sawyers,22-Jun-83,22/06/1983,,,Mancozeb applied,
LongTermLiming,1983,sawyers,25-Aug-83,25/08/1983,,,Mancozeb applied,
LongTermLiming,1983,sawyers,09-Sep-82,09/09/1982,,,Mancozeb applied,
LongTermLiming,1983,sawyers,01-Jul-83,01/07/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,sawyers,08-Jul-83,08/07/1983,,,Fentin hydroxide applied with insecticide,
LongTermLiming,1983,sawyers,18-Jul-83,18/07/1983,,,Fentin hydroxide applied with insecticide,
