experiment,year,new start date,new end date,operation,operation type,sections,Amount,Units,crop,variety,dressing,machine,cropped section,orig_operation
R/BK/1,1980,04/10/1979,,seed sown,seeding process,cropped sections,200,kg/ha,winter wheat,Flanders,,,cropped sections,seed sown
R/BK/1,1980,18/04/1980,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1981,01/10/1980,,seed sown,seeding process,cropped sections,200,kg/ha,winter wheat,Flanders,chlorfenvinphos,,cropped sections,seed sown
R/BK/1,1981,13/05/1981,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1982,20/04/1982,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1982,16/10/1981,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Flanders,chlorfenvinphos,,winter wheat,seed sown
R/BK/1,1983,04/11/1982,,seed sown,seeding process,cropped sections,200,kg/ha,winter wheat,Flanders,chlorfenvinphos,,cropped sections,
R/BK/1,1983,10/05/1983,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1984,06/10/1983,,seed sown,seeding process,cropped sections,210,kg/ha,winter wheat,Flanders,chlorfenvinphos,,cropped sections,
R/BK/1,1984,04/04/1984,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1985,24/04/1985,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,planted
R/BK/1,1985,31/10/1984,,seed sown,seeding process,winter wheat,190,kg/ha,winter wheat,Brimstone,,,winter wheat,
R/BK/1,1986,07/05/1986,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,planted
R/BK/1,1986,03/10/1985,,seed sown,seeding process,winter wheat,200,kg/ha,winter wheat,Brimstone,,,winter wheat,
R/BK/1,1987,16/04/1987,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1987,10/10/1986,,seed sown,seeding process,winter wheat,190,kg/ha,winter wheat,Brimstone,fonofos,,winter wheat,
R/BK/1,1988,08/04/1988,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1988,05/11/1987,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Brimstone,fonofos,,winter wheat,
R/BK/1,1988,06/11/1987,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Squarehead's Master,,,winter wheat,
R/BK/1,1989,24/04/1989,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1989,26/10/1988,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Brimstone,fonofos,,winter wheat,
R/BK/1,1989,27/10/1988,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Squarehead's Master,,,winter wheat,
R/BK/1,1990,05/04/1990,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1990,11/10/1989,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Brimstone,fonofos,,winter wheat,
R/BK/1,1991,17/04/1991,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,potatoes planted
R/BK/1,1991,16/10/1990,,seed sown,seeding process,winter wheat,180,kg/ha,winter wheat,Apollo,,,winter wheat,
R/BK/1,1992,23/04/1992,,planted,seeding process,potatoes,,,potatoes,Pentland Crown Elite 2,,,potatoes,planted Pentland Crown Elite 2
R/BK/1,1992,15/10/1991,,seed drilled,seeding process,winter wheat,200,kg/ha,winter wheat,Apollo,Fonofos,,winter wheat,
R/BK/1,1993,05/05/1993,,planted,seeding process,potatoes,,,potatoes,Pentland Crown,,,potatoes,planted Pentland Crown AA
R/BK/1,1993,06/11/1992,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Apollo,Fonofos,,winter wheat,
R/BK/1,1994,28/04/1994,,planted,seeding process,potatoes,,,potatoes,Estima,Fungazil 100 SL,,potatoes,"planted Estima, dressed Fungazil 100 SL"
R/BK/1,1994,03/11/1993,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Apollo,Fonofos,,winter wheat,
R/BK/1,1995,24/04/1995,,planted,seeding process,potatoes,,,potatoes,Estima,Undressed,,potatoes,"planted Estima, undressed"
R/BK/1,1995,16/11/1994,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Apollo,Kotol,,winter wheat,
R/BK/1,1996,01/05/1996,,planted,seeding process,potatoes,,,potatoes,Estima,Fungazil 100 SL,,potatoes,"planted Estima, dressed Fungazil 100 SL"
R/BK/1,1996,12/10/1995,,seed drilled,seeding process,winter oats,350,seeds/m2,winter oats,Image,Vitaflo Extra,,winter oats,
R/BK/1,1996,11/10/1995,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Hereward,Fonofos,,winter wheat,
R/BK/1,1997,16/10/1996,,seed drilled,seeding process,winter oats,350,seeds/m2,winter oats,Image,Anchor,,winter oats,
R/BK/1,1997,23/04/1997,,seed drilled,seeding process,forage maize,11,seeds/m2,forage maize,Hudson,Mesurol,,forage maize,
R/BK/1,1997,15/10/1996,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Hereward,Beret Gold and Fonofos,,winter wheat,
R/BK/1,1998,07/05/1998,,seed drilled,seeding process,forage maize,11,seeds/m2,forage maize,Hudson,Mesurol,,forage maize,
R/BK/1,1998,21/10/1997,,seed drilled,seeding process,winter oats,350,seeds/m2,winter oats,Image,Anchor,,winter oats,
R/BK/1,1998,15/10/1997,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Hereward,Anchor and Fonofos,,winter wheat,
R/BK/1,1999,05/05/1999,,seed drilled,seeding process,forage maize,11,seeds/m2,forage maize,Hudson,Mesurol,Nodis Gougis Drill,forage maize,
R/BK/1,1999,30/10/1998,,seed drilled,seeding process,winter oats,350,seeds/m2,winter oats,Image,Anchor,Nordsten drill,winter oats,
R/BK/1,1999,30/10/1998,,seed drilled,seeding process,winter wheat,400,seeds/m2,winter wheat,Hereward,Sibutol and Evict,Nordsten drill,winter wheat,
R/BK/1,2000,16/05/2000,,seed drilled,seeding process,forage maize,10.2,seeds/m2,forage maize,Hudson,Mesurol,Nodet Gougis drill,forage maize,
R/BK/1,2000,07/10/1999,,seed drilled,seeding process,winter oats,350,seeds/m2,winter oats,Image,Sibutol,Accord drill,winter oats,
R/BK/1,2000,07/10/1999,,seed drilled,seeding process,winter wheat,380,seeds/m2,winter wheat,Hereward,Sibutol,Accord drill,winter wheat,
R/BK/1,2001,21/05/2001,,seed drilled,seeding process,forage maize,102,seeds/ha,forage maize,Hudson,Mesurol,Nodet Gougis Drill,forage maize,"Drilled, Hudson, tr. Mesurol, at 102,000 seeds/ha, with Nodet Gougis drill"
R/BK/1,2001,03/04/2001,,combination drilled,seeding process,spring oats,350,seeds/m2,spring oats,Revisor,Aagrano,,spring oats,"Combination drilled, Revisor, tr. Aagrano, at 350 seeds/m2"
R/BK/1,2001,16/01/2001,17/01/2001,Combination drilled. No O&Es drilled,seeding process,winter wheat,550,seeds/m2,winter wheat,Hereward,Sibutol,Accord drill,winter wheat,"Combination drilled, Hereward, tr. Sibutol at 550 seeds/m2 with Accord drill. No O&Es drilled)"
R/BK/1,2002,24/04/2002,,Drilled special headland mix 2.0m headland strips,seeding process,forage maize,16,kg/ha,headland mix,,,Moore Drill,forage maize,"Drilled special headland mix at 16.0 kg with the Moore Drill, 2.0m headland strips"
