experiment,year,cropped section,new start date,new end date,operation,sections,method,operation type,flag,intensity,Amount,Units,water,water unit,variety,dressing,machine,orig_operation
Broadbalk,1972,spring beans,17/06/1972,,phorate,,granules,chemical pest control process,3,,1.1,kg/ha,,,,,,"phorate at 1.1 kg applied as granules,"
Broadbalk,1972,spring beans,05/08/1972,,demeton-s-methyl,,,chemical pest control process,3,,245,g/ha,438,l/ha,,,,"demeton-s-methyl at 245 g in 438 1,"
Broadbalk,1972,winter wheat,10/09/1971,,aminotriazole,not applied to sections 6,,chemical pest control process,3,,l.5,kg/ha,220,l/ha,,,,aminotriazole at l.5 kg plus ammonium thiocyanate at 4.2 kg in 220 l
Broadbalk,1972,winter wheat,10/09/1971,,ammonium thiocyanate,not applied to sections 6,,chemical pest control process,3,,4.2,kg/ha,,,,,,
Broadbalk,1972,winter wheat,25/10/1971,,"Terbutryne, related triazines as Prebane",,,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,Terbutryne and related triazines as 'Prebane' at 4.5 kg in 220 l
Broadbalk,1972,winter wheat,27/04/1972,,"dicamba, mecoprop, MCPA as Banlene Plus",except 8,,chemical pest control process,3,,5.6,l/ha,220,l/ha,,,,"MCPA, mecoprop and Dicamba as 'Banlene Plus' at 5.6 l in 220 l"
Broadbalk,1973,potatoes,11/05/1973,,Linuron,,,chemical pest control process,3,,"3,8 kg",kg/ha,450,l/ha,,,,Linuron
Broadbalk,1973,potatoes,11/05/1973,,Paraquat,,,chemical pest control process,3,,0.42 kg ion,kg/ha,450,l/ha,,,,Paraquat
Broadbalk,1973,potatoes,02/07/1973,,Mancozeb,,,chemical pest control process,3,,1.35,kg/ha,370,l/ha,,,,mancozeb at 1.35 kg in 370 l
Broadbalk,1973,potatoes,02/07/1973,,demeton-s-methyl,applied to ends of plots,,chemical pest control process,3,,0.25,kg/ha,440,l/ha,,,,demeton-s-methyl at 0.25 kg in 440 1 applied to ends of plots.
Broadbalk,1973,potatoes,24/07/1973,,Mancozeb,,,chemical pest control process,3,,1.35,kg/ha,370,l/ha,,,,mancozeb at 1.35 kg in 370 l
Broadbalk,1973,potatoes,09/08/1973,,Mancozeb,,,chemical pest control process,3,,1.35,kg/ha,370,l/ha,,,,mancozeb at 1.35 kg in 370 l
Broadbalk,1973,potatoes,31/08/1973,,undiluted BOV,,sprayed,chemical pest control process,3,,220,l/ha,,,,,,sprayed with undiluted BOV at 220 l
Broadbalk,1973,potatoes,31/08/1973,,undiluted BOV,,sprayed,chemical pest control process,3,,220,l/ha,,,,,,sprayed with undiluted BOV at 220 l
Broadbalk,1973,spring beans,08/06/1973,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,370,l/ha,,,,demeton-s-methyl at 0.25 kg in 370 1.
Broadbalk,1973,winter wheat,20/10/1972,,"Terbutryne, related triazines as Prebane",,,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,Terbutryne and related triazines as 'Prebane' at 4.5 kg in 220 l
Broadbalk,1973,winter wheat,26/04/1973,,"dicamba, mecoprop, MCPA as Tetralex Plus",,,chemical pest control process,3,,9.1,l/ha,290,l/ha,,,,"Dicamba, mecoprop and MCPA Tetralex Plus' at 9.1 1 in 290 1)."
Broadbalk,1974,potatoes,17/05/1974,,Linuron,,,chemical pest control process,3,,1.2 kg,kg/ha,450,l/ha,,,,Linuron
Broadbalk,1974,potatoes,17/05/1974,,Paraquat,,,chemical pest control process,3,,0.42,kg/ha,450,l/ha,,,,Paraquat
Broadbalk,1974,potatoes,11/07/1974,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,450,l/ha,,,,Mancozeb at 1.3 kg in 450 l
Broadbalk,1974,potatoes,11/07/1974,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,,,,,,demeton-s-methyl at 0.25 kg
Broadbalk,1974,potatoes,02/08/1974,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,450,l/ha,,,,Mancozeb at 1.3 kg in 450 l
Broadbalk,1974,spring beans,13/06/1974,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,450,l/ha,,,,demeton-s-methyl at 0.25 kg in 450 l
Broadbalk,1974,winter wheat,12/09/1973,,"aminotriazole, ammonium thiocyanate as Weedazol",sections 0 and 9,,chemical pest control process,3,,22.5,l/ha,220,l/ha,,,,aminotriazole plus ammonium thiocyanate as Weedazol at 22.5 1 in 220 1.
Broadbalk,1974,winter wheat,22/10/1973,,"Terbutryne, related triazines as Prebane","sections 0,1, 3, 4, 5 and 9",,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,Terbutryne and related triazines as 'Prebane' at 4.5 kg in 220 l
Broadbalk,1974,winter wheat,18/04/1974,,"dicamba, mecoprop, MCPA as Banlene Plus",,,chemical pest control process,3,,5.6,l/ha,220,l/ha,,,,Dicamba with mecoprop and MCPA as 'Banlene Plus' at 5.6 l in 220 l
Broadbalk,1975,potatoes,04/06/1975,,Linuron,,,chemical pest control process,3,,1.1 kg,kg/ha,450,l/ha,,,,Linuron
Broadbalk,1975,potatoes,04/06/1975,,Paraquat,,,chemical pest control process,3,,0.42 kg ion,kg/ha,450,l/ha,,,,Paraquat
Broadbalk,1975,potatoes,27/06/1975,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,450,l/ha,,,,demeton-s-methyl at 0.25 kg in 450 1 on two occasions.
Broadbalk,1975,potatoes,21/07/1975,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,,,,,,mancozeb at 1.3 kg
Broadbalk,1975,potatoes,21/07/1975,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,450,l/ha,,,,demeton-s-methyl at 0.25 kg in 450 1 on two occasions.
Broadbalk,1975,spring beans,09/07/1975,,demeton-s-methyl,,,chemical pest control process,3,,0.25,kg/ha,450,l/ha,,,,demeton-s-methyl at 0.25 kg in 450 l
Broadbalk,1975,winter wheat,09/05/1975,,"ioxynil, mecoprop as Actril C","except sections 8,",sprayed,chemical pest control process,3,,7.7,l/ha,220,l/ha,,,,ioxynil with mecoprop 'Actril C' at 7.7 1 in 220 1)
Broadbalk,1975,winter wheat,09/05/1975,,mecoprop Actril C,"except sections 8,",sprayed,chemical pest control process,3,,7.7,l/ha,220,l/ha,,,,
Broadbalk,1976,fallow sections,29/09/1975,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1976,potatoes,29/09/1975,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1976,potatoes,05/05/1976,,Linuron,,,chemical pest control process,3,,1.2 kg,kg/ha,220,l/ha,,,,Linuron
Broadbalk,1976,potatoes,17/06/1976,,Pirimicarb,,,chemical pest control process,3,,0.14,kg/ha,450,l/ha,,,,Pirimicarb at 0.14 kg in 450 l
Broadbalk,1976,potatoes,28/07/1976,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,450,l/ha,,,,Mancozeb at 1.3 kg in 450 l
Broadbalk,1976,winter wheat,24/09/1975,,glyphosate,"Sections 0, 1 and 9",,chemical pest control process,3,,1.7,kg/ha,220,l/ha,,,,glyphosate at 1.7 kg in 220 l
Broadbalk,1976,winter wheat,29/09/1975,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1976,winter wheat,18/10/1975,,"Terbutryne, related triazines as Prebane","Sections 0, 1, 5, 6, 7 and 9",,chemical pest control process,3,,4.5,kg/ha,220,l/ha,,,,Terbutryne and related triazines as 'Prebane' at 4.5 kg in 220 l
Broadbalk,1976,winter wheat,08/04/1976,,Dimethoate,section 9,,chemical pest control process,3,,0.11,kg/ha,220,l/ha,,,,Dimethoate at 0.11 kg in 220 l
Broadbalk,1976,winter wheat,29/04/1976,,"dicamba, mecoprop, MCPA as Banlene Plus",,,chemical pest control process,3,,5.6,l/ha,220,l/ha,,,,Dicamba with mecoprop and MCPA as 'Banlene Plus' at 5.6 l in 220 l
Broadbalk,1976,winter wheat,24/06/1976,,Pirimicarb,,,chemical pest control process,3,,0.14,kg/ha,220,l/ha,,,,Pirimicarb at 0.14 kg in 220 l.
Broadbalk,1977,fallow sections,06/09/1976,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1977,potatoes,06/09/1976,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1977,potatoes,23/05/1977,,Linuron,,,chemical pest control process,3,,1.3,kg/ha,340,l/ha,,,,Linuron at 1.3 kg plus paraquat at 0.42 kg ion in 340 1.
Broadbalk,1977,potatoes,23/06/1977,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,340,l/ha,,,,mancozeb at 1.3 kg in 340 1.
Broadbalk,1977,potatoes,05/07/1977,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,340,l/ha,,,,mancozeb at 1.3 kg in 340 1.
Broadbalk,1977,potatoes,26/07/1977,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,340,l/ha,,,,mancozeb at 1.3 kg in 340 1.
Broadbalk,1977,potatoes,26/07/1977,,Pirimicarb,"except sections 8,",sprayed,chemical pest control process,3,,0.14,kg/ha,220,l/ha,,,,primicarb at 0.14 kg applied with the Fungicide.
Broadbalk,1977,potatoes,10/08/1977,,Mancozeb,,,chemical pest control process,3,,1.3,kg/ha,340,l/ha,,,,mancozeb at 1.3 kg in 340 1.
Broadbalk,1977,potatoes,10/08/1977,,Pirimicarb,"except sections 8,",sprayed,chemical pest control process,3,,0.14,kg/ha,220,l/ha,,,,primicarb at 0.14 kg applied with the Fungicide.
Broadbalk,1977,spring beans,19/07/1977,,Pirimicarb,,,chemical pest control process,3,,0.14,kg/ha,280,l/ha,,,,primicarb at 0.14 kg in 280 1.
Broadbalk,1977,winter wheat,06/09/1976,,glyphosate,"Sections 0, 1 and 9",,chemical pest control process,3,,1.7,kg/ha,220,l/ha,,,,glyphosate at 1.7 kg in 220 l
Broadbalk,1977,winter wheat,07/09/1976,,chalk applied,,,liming process,3,,,,,,,,,Chalk applied
Broadbalk,1977,winter wheat,10/05/1977,,Ioxynil," sections 3, 4, 5, 9",sprayed,chemical pest control process,3,,0.53,kg/ha,220,l/ha,,,,ioxynil at 0.53 kg with mecoprop at 1.6 kg in 220 1 applied in spring.
