source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
319,RFW3,1865,cropped section,,,,,,
320,RFW3,1866,cropped section,,,,,,
321,RFW3,1867,cropped section,31/08/1867,02/09/1867,harvest date,,,
322,RFW3,1868,cropped section,25/07/1868,28/07/1868,harvest date,,,
323,RFW3,1869,cropped section,30/08/1869,01/09/1869,harvest date,,,
324,RFW3,1870,cropped section,09/08/1870,10/08/1870,harvest date,,,
325,RFW3,1871,cropped section,26/08/1871,,harvest date,,,
326,RFW3,1872,cropped section,23/08/1872,,harvest date,,,
327,RFW3,1873,cropped section,12/09/1873,16/09/1873,harvest date,,,
328,RFW3,1874,cropped section,12/08/1874,,harvest date,,,
329,RFW3,1875,cropped section,23-08-1875,,harvest date,,,
330,RFW3,1876,cropped section,21-08-1876,,harvest date,,,
331,RFW3,1877,cropped section,23-08-1877,,harvest date,,,
332,RFW3,1878,cropped section,13-08-1878,,harvest date,,,
333,RFW3,1879,cropped section,17/09/1879,,harvest date,,,
334,RFW3,1880,cropped section,20/08/1880,,harvest date,,,
335,RFW3,1881,cropped section,15/08/1881,,harvest date,,,
336,RFW3,1882,cropped section,16/08/1882,,harvest date,,,
337,RFW3,1883,cropped section,25/08/1883,,harvest date,,,
338,RFW3,1884,cropped section,06/08/1884,,harvest date,,,
339,RFW3,1885,cropped section,13/08/1885,,harvest date,,,
340,RFW3,1886,cropped section,26/08/1886,,harvest date,,,
341,RFW3,1887,cropped section,11/08/1887,,harvest date,,,
342,RFW3,1888,cropped section,08/08/1888,,harvest date,,,
343,RFW3,1889,cropped section,20/08/1889,21/08/1889,harvest date,,,
344,RFW3,1890,cropped section,09/08/1890,,harvest date,,,
345,RFW3,1891,cropped section,02/09/1891,,harvest date,,,
346,RFW3,1892,cropped section,23/08/1892,,harvest date,,,
347,RFW3,1893,cropped section,31/07/1893,01/08/1893,harvest date,,,
348,RFW3,1894,cropped section,21/08/1894,,harvest date,,,
349,RFW3,1895,cropped section,09/08/1895,,harvest date,,,
350,RFW3,1896,cropped section,25/07/1896,,harvest date,,,
351,RFW3,1897,cropped section,13/08/1897,,harvest date,,,
352,RFW3,1898,cropped section,13/08/1898,,harvest date,,,
353,RFW3,1899,cropped section,11/08/1899,,harvest date,,,
354,RFW3,1900,cropped section,11/08/1900,13/08/1900,harvest date,,,
355,RFW3,1901,cropped section,13/08/1901,14/08/1901,harvest date,,,
356,RFW3,1902,cropped section,28/08/1902,,harvest date,,,
357,RFW3,1903,cropped section,03/09/1903,,harvest date,,,
358,RFW3,1904,cropped section,08/08/1904,,harvest date,,,
